2024-01-01,295.02,301.9,295.02,299.33,345186
2023-12-29,296.0,298.2,292.57,294.91,349754
2023-12-28,291.95,301.9,289.5,293.45,857017
2023-12-27,289.48,290.98,283.76,289.87,564578
2023-12-26,292.0,295.0,285.0,285.32,529964
2023-12-22,297.88,299.5,292.0,292.86,320583
2023-12-21,302.0,303.0,291.76,296.69,754517
2023-12-20,308.89,308.95,293.53,300.21,1789142
2023-12-19,315.51,316.8,305.01,307.14,1023747
2023-12-18,322.2,324.99,316.01,316.83,600823
2023-12-15,320.0,324.98,318.05,323.69,814544
2023-12-14,319.0,323.8,314.9,321.29,877987
2023-12-13,324.89,327.0,310.0,320.71,1839954
2023-12-12,322.99,329.5,321.0,325.1,1567036
2023-12-11,314.9,323.8,309.0,320.79,2260292
2023-12-08,312.5,315.75,312.0,314.92,891132
2023-12-07,313.01,316.85,310.05,311.39,1041236
2023-12-06,309.0,313.55,309.0,312.35,783107
2023-12-05,309.75,313.5,304.5,307.97,693314
2023-12-04,305.03,316.89,305.03,308.69,1732592
2023-12-01,293.0,305.0,292.2,303.65,1304389
2023-11-30,300.0,302.14,290.1,292.0,1429049
2023-11-29,297.01,302.88,297.0,298.89,1053268
2023-11-28,296.0,299.25,295.5,296.8,1012861
2023-11-27,296.0,296.9,293.66,295.06,227718
2023-11-24,292.67,298.0,291.6,294.84,578090
2023-11-23,291.87,296.75,291.87,292.67,325609
2023-11-22,286.95,294.3,286.95,293.51,760312
2023-11-21,287.0,291.25,286.0,286.63,343079
2023-11-20,290.01,291.9,286.06,287.19,363862
2023-11-17,294.5,294.5,290.0,290.55,567579
2023-11-16,294.0,297.5,292.8,293.55,846310
2023-11-15,291.6,294.73,287.5,293.01,384577
2023-11-14,292.9,294.75,289.0,291.62,405891
2023-11-13,289.0,299.0,289.0,292.64,758563
2023-11-10,283.01,293.0,283.01,288.85,1040537
2023-11-08,276.2,285.0,276.2,283.65,1736205
2023-11-07,281.99,283.45,276.66,277.94,773899
2023-11-06,274.98,279.9,272.0,279.38,622860
2023-11-03,276.55,280.0,270.0,273.84,530933
2023-11-02,276.43,283.74,275.0,276.62,679465
2023-11-01,283.0,284.9,276.5,277.35,478311
2023-10-31,272.7,291.0,271.1,281.26,1770965
2023-10-30,271.99,274.9,270.29,272.38,477113
2023-10-27,269.11,271.1,269.0,270.08,231039
2023-10-26,269.0,271.75,269.0,269.85,250897
2023-10-25,271.11,275.0,268.15,268.85,329702
2023-10-24,272.0,274.48,270.11,272.88,631364
2023-10-23,279.85,285.5,274.5,277.02,1089800
2023-10-20,277.0,283.9,276.11,279.62,675117
2023-10-19,265.0,282.5,265.0,279.19,1447460
2023-10-18,265.0,268.0,264.32,266.13,206136
2023-10-17,268.0,272.5,266.2,266.9,1869166
2023-10-16,268.5,269.64,266.5,267.21,1319468
2023-10-13,266.1,275.0,264.0,269.41,999108
2023-10-12,262.2,268.2,260.21,266.26,1129933
